iter	MultiClass
0	1.035791044
1	0.9865006788
2	0.9478871898
3	0.9151036958
4	0.8880978012
5	0.8649304008
6	0.8449215814
7	0.8281610378
8	0.8133512024
9	0.8015309379
10	0.790958011
11	0.7812354262
12	0.7730798702
13	0.7657118192
14	0.7588326776
15	0.7534149669
16	0.7485151643
17	0.7443081833
18	0.741006284
19	0.7375042309
20	0.7343926806
21	0.7316774203
22	0.7297907489
23	0.7276263637
24	0.7259222342
25	0.7240324408
26	0.7229760087
27	0.7215618036
28	0.7204369977
29	0.7190045262
30	0.7180452947
31	0.7169578526
32	0.7160866903
33	0.715244754
34	0.714781108
35	0.7141692868
36	0.7135479279
37	0.7130861152
38	0.7124690539
39	0.7119894415
40	0.7114241077
41	0.7107824368
42	0.7104226408
43	0.7099373164
44	0.7096579784
45	0.7091405464
46	0.7086579863
47	0.7084164592
48	0.708068271
49	0.7077102217
50	0.7071250173
51	0.7067229982
52	0.7064697728
53	0.7058422772
54	0.705487187
55	0.7049707535
56	0.704511148
57	0.7042734492
58	0.7040746082
59	0.7038651981
60	0.7035950402
61	0.7032376874
62	0.7030000207
63	0.7028318427
64	0.702660218
65	0.7025033966
66	0.7022797898
67	0.7020100402
68	0.7018130317
69	0.7016453143
70	0.7015511877
71	0.7013410149
72	0.7011131314
73	0.7007170488
74	0.7004138683
75	0.700133791
76	0.6998968299
77	0.6995360345
78	0.699278494
79	0.6990939526
80	0.6988126216
81	0.6984508435
82	0.6983385359
83	0.6982348077
84	0.6979326679
85	0.6976491068
86	0.697291239
87	0.6969342183
88	0.6966361825
89	0.6964697581
90	0.6962906681
91	0.6959522332
92	0.6955601611
93	0.6952683693
94	0.6951274134
95	0.6948196189
96	0.694627018
97	0.6944705963
98	0.6943861405
99	0.6940411741
100	0.6936296849
101	0.6934096047
102	0.6931309349
103	0.6930130867
104	0.6928713368
105	0.6925734477
106	0.6923913819
107	0.6922633199
108	0.6921060327
109	0.6919735984
110	0.6917946694
111	0.6914485018
112	0.6913056702
113	0.6911921007
114	0.6908606095
115	0.6906174628
116	0.6904131567
117	0.6900003489
118	0.6896651516
119	0.6894517534
120	0.6892081274
121	0.6889544375
122	0.6887608125
123	0.6885688394
124	0.6883096232
125	0.6880011084
126	0.6877701544
127	0.687544944
128	0.6871659915
129	0.6867845507
130	0.6865577061
131	0.6863608967
132	0.6862235496
133	0.6860491523
134	0.6858258683
135	0.6855028858
136	0.6852634291
137	0.6850641576
138	0.6848397137
139	0.6844838122
140	0.6840592783
141	0.6838560451
142	0.6835811864
143	0.6833310025
144	0.6830917084
145	0.6828099417
146	0.6825739911
147	0.6823917922
148	0.6821782289
149	0.6818540315
150	0.6815887461
151	0.6813559953
152	0.6812305367
153	0.6810028823
154	0.6808902705
155	0.6806796102
156	0.6804790219
157	0.6802802017
158	0.6800571679
159	0.6798218359
160	0.6797034127
161	0.6793736038
162	0.6789031026
163	0.6786882539
164	0.6784815874
165	0.6783481722
166	0.6781266936
167	0.6779020477
168	0.6776897415
169	0.6774414672
170	0.6773057688
171	0.6771223344
172	0.6768249207
173	0.6766061433
174	0.6764134348
175	0.6762561345
176	0.6759623846
177	0.6757764947
178	0.6756540109
179	0.6755108027
180	0.6753742196
181	0.6748862708
182	0.6747366674
183	0.6745835386
184	0.6743870274
185	0.67416297
186	0.673965724
187	0.6737763391
188	0.6736671529
189	0.6732120384
190	0.6730695771
191	0.6728844243
192	0.6727162678
193	0.6723785289
194	0.6722323993
195	0.6720005839
196	0.6717751663
197	0.6714912944
198	0.6712938513
199	0.6711521549
