iter	Passed	Remaining
0	8	1757
1	17	1734
2	26	1711
3	34	1671
4	41	1634
5	50	1636
6	59	1650
7	68	1641
8	77	1646
9	85	1628
10	94	1615
11	102	1599
12	110	1591
13	119	1584
14	127	1577
15	135	1563
16	144	1555
17	153	1552
18	161	1537
19	169	1529
20	178	1522
21	187	1519
22	196	1511
23	204	1501
24	212	1485
25	220	1474
26	227	1460
27	236	1453
28	245	1449
29	255	1445
30	263	1436
31	272	1431
32	280	1418
33	289	1412
34	297	1400
35	305	1392
36	313	1381
37	322	1373
38	330	1365
39	338	1355
40	346	1344
41	354	1334
42	362	1323
43	371	1316
44	378	1304
45	387	1296
46	395	1289
47	406	1288
48	415	1279
49	423	1271
50	433	1265
51	441	1256
52	449	1247
53	458	1239
54	466	1230
55	475	1222
56	483	1213
57	491	1203
58	499	1194
59	507	1184
60	515	1175
61	523	1165
62	531	1156
63	539	1147
64	547	1137
65	555	1128
66	564	1119
67	572	1111
68	580	1102
69	588	1092
70	596	1083
71	604	1074
72	612	1065
73	620	1056
74	628	1048
75	637	1039
76	645	1030
77	653	1022
78	662	1014
79	670	1005
80	678	996
81	686	987
82	694	978
83	702	970
84	711	961
85	719	953
86	727	944
87	735	935
88	744	928
89	752	919
90	760	911
91	769	903
92	777	894
93	784	885
94	792	876
95	801	868
96	809	859
97	817	850
98	825	842
99	833	833
100	841	825
101	850	817
102	859	809
103	867	800
104	875	791
105	884	784
106	892	775
107	899	766
108	907	757
109	915	748
110	923	740
111	932	732
112	940	723
113	947	714
114	956	706
115	964	698
116	972	689
117	980	681
118	989	673
119	997	664
120	1005	656
121	1013	647
122	1021	639
123	1029	631
124	1037	622
125	1045	614
126	1053	605
127	1062	597
128	1072	590
129	1080	581
130	1088	573
131	1096	564
132	1104	556
133	1112	547
134	1121	539
135	1129	531
136	1137	523
137	1147	515
138	1156	507
139	1165	499
140	1173	491
141	1181	482
142	1190	474
143	1198	466
144	1207	457
145	1215	449
146	1223	441
147	1231	432
148	1240	424
149	1248	416
150	1258	408
151	1274	402
152	1298	398
153	1309	391
154	1319	383
155	1327	374
156	1336	366
157	1345	357
158	1354	349
159	1363	340
160	1372	332
161	1380	323
162	1389	315
163	1398	306
164	1406	298
165	1415	289
166	1424	281
167	1433	272
168	1442	264
169	1451	256
170	1460	247
171	1469	239
172	1478	230
173	1487	222
174	1496	213
175	1504	205
176	1513	196
177	1521	188
178	1531	179
179	1540	171
180	1549	162
181	1558	154
182	1566	145
183	1575	137
184	1584	128
185	1592	119
186	1600	111
187	1609	102
188	1617	94
189	1625	85
190	1633	76
191	1642	68
192	1651	59
193	1660	51
194	1669	42
195	1678	34
196	1686	25
197	1695	17
198	1704	8
199	1713	0
